Time (s),Signal (Green),BPM
67.32,30.45,84
67.36,35.55,156
67.39,35.82,156
67.43,35.19,156
67.48,35.19,156
67.52,41.63,144
67.55,37.06,156
67.6,46.27,72
67.63,37.34,156
67.67,42.1,72
67.71,39.98,132
67.75,38.76,132
67.77,36.57,132
67.82,31.68,60
67.86,35.92,132
67.9,45.06,144
67.94,33.41,60
67.97,43.94,132
68.01,35.01,132
68.06,40.56,132
68.11,31.53,72
68.15,35.13,144
68.19,48.75,60
68.22,35.74,132
68.26,38.42,132
68.3,43.63,60
68.35,31.74,132
68.4,42.0,60
68.44,42.03,60
68.47,33.6,144
68.5,33.03,60
68.55,46.9,60
68.61,43.07,60
68.66,38.24,60
68.69,42.91,132
68.72,38.32,132
68.76,38.32,132
68.8,36.57,132
68.84,41.94,144
68.87,42.28,144
68.89,49.38,144
68.95,35.7,60
68.99,48.96,132
69.02,27.31,60
69.07,43.51,132
69.11,45.03,132
69.14,45.03,132
69.19,38.74,60
69.22,32.18,144
69.26,41.15,144
69.3,41.66,144
69.34,33.14,144
69.37,38.81,144
69.4,41.67,144
69.45,46.65,144
69.49,39.8,144
69.52,42.47,60
69.55,47.71,144
69.59,47.71,144
69.63,47.74,144
69.66,42.13,144
69.7,41.1,144
69.76,52.96,144
69.81,42.25,144
69.86,52.02,144
69.89,39.84,144
69.94,38.58,144
69.97,38.96,144
70.0,38.96,144
70.07,46.38,144
70.1,44.95,156
70.14,41.25,144
70.2,34.84,144
70.24,41.72,144
70.29,47.91,144
70.33,38.87,144
70.38,31.52,156
70.42,41.24,132
70.45,39.76,144
70.49,45.22,144
70.52,47.61,144
70.56,35.58,132
70.61,39.33,144
70.66,36.48,144
70.71,39.71,132
70.75,30.54,144
70.79,37.99,132
70.82,41.37,132
70.85,43.72,144
70.89,36.79,132
70.92,36.29,132
70.96,44.48,132
71.01,42.56,132
71.04,38.27,132
71.07,44.24,144
71.12,47.3,132
71.15,39.61,132
71.19,36.93,144
71.22,42.47,132
71.26,40.17,144
71.29,47.49,132
71.33,33.62,60
71.36,32.29,60
71.39,30.96,60
71.42,38.76,108
71.45,47.66,108
71.5,28.45,60
71.54,32.42,108
71.57,48.48,108
71.61,52.13,108
71.64,29.93,108
71.69,34.23,108
71.74,50.83,60
71.77,52.4,48
71.8,56.45,60
71.83,48.56,108
71.86,52.88,108
71.92,52.05,108
71.96,50.24,108
71.99,56.74,60
72.03,49.68,60
72.06,53.91,60
72.09,57.42,60
72.13,56.44,60
72.16,56.31,60
72.19,54.98,60
72.22,59.63,60
72.25,59.57,60
72.28,59.16,60
72.31,54.58,96
72.35,53.01,60
72.4,57.65,60
72.43,60.05,96
72.48,61.61,60
72.52,66.74,60
72.56,65.21,60
72.59,63.64,60
72.65,58.34,72
72.69,57.13,96
72.75,56.72,96
72.79,56.43,96
72.82,62.45,96
72.86,61.1,96
72.89,58.13,96
72.92,55.74,96
72.96,57.77,96
73.0,57.3,60
73.04,55.77,96
73.08,58.12,96
73.14,59.76,96
73.17,61.39,96
73.2,58.4,96
73.23,66.81,96
73.27,59.14,96
73.3,51.2,96
73.33,60.26,96
73.37,55.12,96
73.4,57.37,96
73.44,60.93,96
73.47,53.55,96
73.56,59.26,96
73.61,56.26,96
73.64,60.69,96
73.68,52.55,96
73.71,57.45,60
73.75,60.42,96
73.82,51.03,60
73.86,47.14,96
73.89,54.88,96
73.93,54.54,96
73.96,55.76,96
73.99,46.24,96
74.02,62.37,60
74.08,51.43,96
74.12,57.96,96
74.15,54.18,60
74.19,61.47,60
74.22,53.52,96
74.26,52.07,60
74.29,49.89,60
74.32,52.1,96
74.35,67.97,96
74.4,47.53,60
74.43,58.13,96
74.46,55.95,96
74.5,59.32,96
74.53,57.85,96
74.56,66.2,96
74.6,62.83,96
74.63,66.64,96
74.66,68.29,96
74.74,67.76,96
74.78,67.34,96
74.81,67.56,96
74.84,61.33,96
74.87,61.58,96
74.91,62.53,96
74.93,68.67,96
74.98,57.09,96
75.04,61.18,96
75.07,62.07,96
75.1,65.72,96
75.13,61.16,96
75.16,61.76,96
75.19,61.66,96
75.22,58.44,96
75.26,61.71,96
75.29,57.97,96
75.35,62.47,96
75.39,60.01,96
75.43,62.96,96
75.47,72.94,48
75.5,62.95,96
75.53,57.03,96
75.57,59.22,96
75.6,61.23,96
75.63,59.64,96
75.66,54.7,96
75.71,58.59,96
75.75,54.53,96
75.78,61.2,96
75.82,60.09,96
75.86,60.82,96
75.91,68.86,96
75.96,52.85,96
75.99,52.41,96
76.03,60.13,96
76.08,64.67,96
76.14,76.37,96
76.18,74.58,96
76.21,80.5,72
76.25,75.45,96
76.28,81.11,96
76.31,79.93,96
76.34,82.73,48
76.38,82.45,96
76.42,76.05,96
76.46,79.19,96
76.49,81.42,96
76.53,82.04,96
76.58,77.26,96
76.61,75.71,48
76.64,70.18,48
76.67,80.31,96
76.71,73.62,72
76.76,72.4,96
76.81,75.44,96
76.84,73.26,48
76.88,68.62,48
76.91,73.31,48
76.96,72.8,96
76.99,74.87,72
77.03,74.82,72
77.06,72.0,96
77.11,77.28,48
77.16,76.51,72
77.2,73.22,72
77.28,80.08,48
77.31,72.59,84
77.35,75.17,72
77.39,69.53,72
77.42,67.39,72
77.45,63.62,72
77.48,61.41,72
77.53,59.0,72
77.57,65.33,72
77.6,70.1,84
77.65,63.12,84
77.7,66.47,84
77.73,63.84,84
77.76,60.3,84
77.79,70.36,84
77.82,68.78,84
77.87,62.39,84
77.9,68.83,84
77.93,60.2,84
77.97,65.8,84
78.01,67.86,84
78.1,64.21,84
78.15,58.25,84
78.22,61.31,84
78.26,62.85,84
78.31,59.05,84
78.35,55.22,84
78.4,51.2,84
78.44,55.82,84
78.47,55.82,84
78.5,51.94,84
78.53,56.61,84
78.58,55.73,84
78.63,56.21,84
78.68,53.33,84
78.72,59.27,84
78.77,53.49,84
78.82,58.29,84
78.85,53.36,84
78.89,53.36,84
78.92,50.14,84
78.97,58.15,84
79.01,46.68,84
79.04,61.32,84
79.07,57.24,84
79.11,53.2,84
79.15,53.73,84
79.2,50.98,84
79.23,58.78,84
79.26,60.66,84
79.3,52.48,84
79.33,52.48,84
79.38,55.84,84
79.41,52.62,84
79.44,50.32,84
79.49,55.74,84
79.53,55.19,84
79.56,56.53,84
79.6,55.4,84
79.64,45.87,84
79.67,53.75,84
79.7,53.75,84
79.74,52.79,84
79.77,47.6,84
79.81,52.59,84
79.86,56.38,84
79.89,57.73,84
79.92,58.63,84
79.97,53.45,84
80.02,53.37,84
80.05,53.41,84
80.08,53.13,84
80.13,46.6,84
80.17,58.51,84
80.21,58.51,84
80.25,52.42,84
80.28,51.36,84
80.31,50.08,84
80.36,49.09,84
80.4,51.39,84
80.43,50.97,84
80.47,51.29,84
80.51,58.52,84
80.56,55.15,84
80.59,55.15,84
80.62,48.65,84
80.66,50.72,84
80.73,48.77,84
80.76,51.34,84
80.8,46.21,84
80.84,49.09,84
80.88,48.25,84
80.95,58.78,72
81.01,58.78,84
81.05,50.21,84
81.12,58.29,84
81.2,62.41,84
81.31,48.05,84
81.36,52.52,84
81.41,56.4,84
81.45,56.4,84
81.51,49.78,72
81.56,53.09,72
81.61,51.0,72
81.67,52.87,72
81.72,53.5,84
81.76,54.9,84
81.82,48.07,84
81.87,46.49,84
81.92,47.95,84
81.98,49.0,84
82.02,50.3,72
82.07,52.56,72
82.13,52.81,72
82.18,56.32,72
82.23,51.87,96
82.27,46.93,72
82.33,46.93,72
82.38,49.1,72
82.43,55.92,72
82.49,56.06,72
82.53,51.32,72
82.58,44.96,72
82.63,48.44,72
82.68,47.63,72
82.72,45.48,72
82.77,44.67,72
82.83,50.58,72
82.87,46.97,108
82.92,48.83,108
82.98,42.02,72
83.03,46.63,72
83.08,46.89,72
83.13,46.89,72
83.19,49.9,72
83.23,44.82,108
83.3,44.28,72
83.34,47.11,72
83.39,45.89,72
83.45,46.57,72
83.49,43.26,72
83.54,45.65,72
83.6,42.1,72
83.65,40.56,72
83.69,42.72,72
83.77,51.74,108
83.83,44.24,72
83.87,49.08,108
83.93,44.25,72
83.99,50.15,72
84.04,50.15,108
84.08,49.45,72
84.14,49.69,108
84.19,51.9,108
84.24,49.16,108
84.28,39.87,108
84.33,45.96,108
84.38,45.51,108
84.42,49.63,108
84.47,49.63,108
84.51,43.0,108
84.56,44.62,108
84.61,49.75,108
84.66,55.19,108
84.72,51.55,108
84.77,49.29,108
84.81,52.03,108
84.86,50.03,72
84.91,47.0,108
84.95,43.95,108
85.0,47.44,108
85.04,45.59,108
85.09,49.18,108
85.14,44.01,108
85.18,46.54,108
85.26,40.01,108
85.31,50.23,108
85.35,43.69,108
85.4,45.57,108
85.45,46.07,108
85.49,47.74,108
85.54,48.17,108
85.59,44.64,108
85.63,43.43,108
85.69,46.57,108
85.74,45.93,108
85.79,43.57,108
85.84,43.72,108
85.88,42.62,108
85.93,50.72,72
85.98,43.24,108
86.02,45.51,108
86.07,43.75,132
86.11,44.31,108
86.16,47.63,108
86.21,43.15,108
86.25,43.75,108
86.3,48.72,108
86.38,45.55,108
86.42,47.69,108
86.47,51.71,108
86.52,43.31,108
86.57,47.46,108
86.63,47.19,108
86.69,47.95,108
86.74,46.28,108
86.79,50.4,108
86.86,54.64,108
86.9,48.75,108
86.94,50.75,108
86.98,42.25,132
87.03,42.58,132
87.07,44.22,108
87.12,48.21,108
87.17,44.84,108
87.22,49.85,108
87.28,43.57,108
87.33,45.64,108
87.38,47.85,132
87.43,45.49,108
87.47,53.71,84
87.52,57.24,84
87.57,53.2,132
87.61,53.98,132
87.66,54.84,132
87.71,51.05,132
87.75,50.15,84
87.8,53.79,132
87.85,51.35,84
87.89,57.01,132
87.94,53.66,84
87.98,50.46,84
88.03,56.36,84
88.08,52.32,84
88.12,48.34,84
88.17,50.8,84
88.22,50.37,96
88.26,49.89,84
88.31,50.46,96
88.37,54.08,84
88.42,55.75,84
88.47,49.07,120
88.51,56.4,96
88.56,49.03,84
88.6,50.33,120
88.65,52.97,48
88.7,48.35,120
88.74,46.6,120
88.79,50.11,96
88.84,50.16,96
88.88,51.88,120
88.93,56.08,120
88.98,51.92,120
89.02,54.84,120
89.07,44.71,120
89.12,51.45,120
89.16,58.62,96
89.21,55.05,96
89.26,50.63,120
89.31,48.73,120
89.35,50.05,120
89.4,48.4,120
89.44,48.07,120
89.49,48.04,96
89.54,46.78,120
89.58,45.09,120
89.63,49.05,120
89.68,45.7,120
89.72,47.74,120
89.77,51.29,120
89.82,47.14,120
89.86,46.75,72
89.91,46.7,120
89.96,44.62,120
90.0,43.57,120
90.05,43.77,120
90.1,40.21,120
90.14,41.34,120
90.19,46.38,120
90.24,48.39,120
90.28,46.93,120
90.33,47.4,120
90.38,39.44,96
90.42,48.96,120
90.47,42.76,120
90.52,48.97,120
90.56,42.24,120
90.61,40.7,120
90.64,41.9,120
90.69,50.08,96
90.73,46.11,120
90.78,49.64,96
90.83,48.37,120
90.87,45.49,120
90.92,43.22,60
90.96,49.39,120
91.01,44.15,60
91.06,45.92,120
91.1,43.89,60
91.15,41.25,60
91.2,47.54,60
91.24,45.31,60
91.29,44.11,60
91.34,42.68,60
91.38,46.93,60
91.43,43.12,60
91.48,44.62,60
91.52,45.47,60
91.57,48.98,60
91.62,51.56,60
91.66,43.41,60
91.71,44.95,60
91.76,42.09,84
91.8,41.78,84
91.85,41.76,84
91.9,44.58,84
91.95,46.12,144
91.99,43.72,144
92.04,44.56,60
92.08,45.75,144
92.13,48.15,72
92.17,49.02,144
92.22,40.16,60
92.27,47.14,108
92.3,47.58,72
92.33,46.07,60
92.37,44.13,144
92.4,41.94,60
92.43,48.15,60
92.46,44.44,60
92.49,43.98,60
92.52,49.17,108
92.55,48.62,108
92.58,46.17,144
92.62,47.2,144
92.65,51.07,60
92.69,50.65,108
92.74,43.13,144
92.77,40.03,84
92.8,43.65,144
92.83,37.56,48
92.87,37.56,48
92.92,42.16,144
92.95,49.41,144
92.99,47.73,72
93.02,41.93,144
93.05,48.6,144
93.08,50.85,72
93.11,46.01,144
93.14,46.66,144
93.17,52.23,72
93.2,55.35,144
93.24,46.8,144
93.27,43.74,60
93.3,43.74,132
93.33,42.61,60
93.36,40.68,60
93.39,51.51,132
93.42,44.88,60
93.45,36.75,132
93.48,33.21,72
93.51,41.99,132
93.55,47.62,132
93.59,39.19,132
93.64,35.0,132
93.67,39.06,132
93.7,50.29,60
93.73,50.29,60
93.76,41.6,132
93.79,38.43,132
93.82,39.66,96
93.86,37.0,96
93.89,32.32,96
93.92,32.84,96
93.95,30.16,96
93.98,33.86,132
94.01,25.81,96
94.04,32.92,96
94.07,29.55,96
94.1,29.55,96
94.13,40.56,96
94.17,34.45,96
94.2,29.85,96
94.2,29.85,96
94.26,33.9,96
94.26,33.9,96
94.26,33.9,96
94.35,25.87,96
94.4,18.54,96
94.43,25.63,96
94.43,25.63,96
94.43,25.63,96
94.43,25.63,96
94.57,22.33,96
94.6,16.52,96
94.63,26.09,96
94.66,28.82,144
94.69,28.94,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
94.73,27.78,144
96.35,32.69,144
96.4,33.81,144
96.44,46.21,60
96.47,33.16,144
96.5,39.37,144
96.54,40.86,144
96.57,39.79,120
96.6,37.28,120
96.63,46.58,120
96.67,46.58,120
96.71,44.7,120
96.74,42.2,120
96.77,48.15,144
96.8,55.46,120
96.84,53.01,120
96.88,55.26,120
96.91,55.8,120
96.94,44.24,144
96.97,55.64,120
97.0,54.12,120
97.03,55.28,120
97.06,57.39,144
97.09,57.39,120
97.12,47.97,120
97.16,47.03,120
97.2,42.04,120
97.23,44.01,120
97.27,50.47,120
97.3,58.4,120
97.33,52.58,120
97.36,39.22,120
97.4,41.92,120
97.44,51.74,120
97.47,53.85,120
97.5,53.85,120
97.53,49.97,120
97.56,60.7,120
97.6,50.57,120
97.64,50.43,120
97.67,49.09,120
97.73,51.96,120
97.76,40.75,120
97.79,58.12,120
97.83,50.21,120
97.86,50.41,120
97.89,58.51,120
97.92,55.97,120
97.95,55.97,120
97.98,50.24,120
98.01,51.51,120
98.06,55.59,120
98.09,54.78,120
98.12,55.33,120
98.15,52.44,120
98.19,60.85,120
98.23,53.13,120
98.27,56.66,120
98.29,58.99,120
98.32,62.89,120
98.36,56.68,120
98.39,56.68,120
98.42,53.98,120
98.45,61.79,120
98.48,64.17,120
98.51,53.5,120
98.54,56.03,120
98.57,56.7,120
98.61,54.5,120
98.64,61.85,120
98.67,57.27,120
98.7,55.55,120
98.73,46.02,120
98.76,52.49,120
98.81,57.25,120
98.85,57.87,120
98.89,57.27,120
98.93,53.56,120
98.97,71.36,120
98.99,58.62,120
99.03,56.74,120
99.06,59.67,120
99.1,52.7,120
99.14,53.14,120
99.17,55.4,120
99.2,44.59,120
99.23,61.54,120
99.26,50.54,120
99.29,45.09,120
99.32,53.73,120
99.35,42.55,120
99.38,49.74,120
99.42,47.78,120
99.45,55.75,120
99.48,57.09,120
99.51,51.05,120
99.54,49.67,120
99.57,56.81,60
99.62,58.76,60
99.65,54.73,120
99.68,55.07,120
99.71,54.61,120
99.74,48.27,120
99.78,45.17,120
99.8,50.07,120
99.84,56.27,120
99.87,57.15,120
99.9,49.5,120
99.93,53.39,120
99.96,53.18,120
99.99,51.35,120
100.02,44.51,120
100.05,50.43,120
100.1,54.62,120
100.13,48.6,120
100.16,46.31,120
100.19,46.23,120
100.23,44.79,120
100.27,47.64,120
100.3,50.02,120
100.33,55.53,120
100.36,48.93,120
100.39,46.44,120
100.42,48.75,120
100.45,52.68,120
100.5,58.04,120
100.53,58.91,120
100.56,55.75,120
100.59,46.85,120
100.64,52.45,120
100.67,59.53,120
100.7,60.44,120
100.73,46.82,60
100.76,52.98,120
100.79,59.13,120
100.82,50.74,60
100.86,45.52,60
100.89,48.58,60
100.93,52.49,60
100.97,50.06,60
100.99,51.44,60
101.03,55.36,120
101.06,49.11,84
101.09,44.1,120
101.13,43.32,120
101.17,47.84,84
101.21,52.15,84
101.24,56.34,60
101.27,48.39,84
101.31,47.2,120
101.33,52.28,120
101.37,51.16,84
101.4,50.4,84
101.43,52.94,60
101.46,53.41,60
101.49,59.7,60
101.52,48.97,84
101.56,47.96,60
101.59,46.78,120
101.62,52.43,120
101.65,43.33,120
101.69,49.15,84
101.72,54.21,84
101.75,43.8,72
101.79,52.68,120
101.83,47.54,72
101.87,46.43,120
101.91,54.54,120
101.94,47.81,120
101.98,40.01,60
102.01,47.24,120
102.04,47.03,60
102.07,43.32,60
102.1,52.93,72
102.13,52.18,72
102.16,54.82,72
102.2,51.51,72
102.23,43.99,72
102.26,48.42,72
102.3,47.24,72
102.33,43.25,72
102.36,47.68,72
102.39,46.19,72
102.42,44.17,72
102.46,53.02,72
102.49,46.49,72
102.52,43.19,72
102.55,49.98,72
102.58,50.14,72
102.63,40.85,72
102.66,44.39,72
102.69,49.42,72
102.72,45.5,72
102.75,50.93,72
102.79,47.45,72
102.82,54.78,72
102.85,50.99,72
102.89,45.92,72
102.92,48.0,72
102.95,47.76,72
102.98,50.49,72
103.01,45.24,72
103.06,42.09,72
103.09,48.86,72
103.12,45.22,72
103.16,48.78,72
103.2,51.96,72
103.23,52.74,72
103.26,45.63,72
103.29,41.98,72
103.32,45.03,72
103.36,41.2,72
103.39,47.53,72
103.42,54.29,72
103.45,42.7,72
103.49,53.16,72
103.52,47.13,72
103.56,53.5,72
103.59,50.19,72
103.62,51.2,72
103.67,44.38,72
103.7,57.47,72
103.73,52.53,72
103.76,50.04,72
103.79,46.24,60
103.82,45.16,60
103.85,51.2,72
103.89,45.59,60
103.93,50.83,60
103.96,58.28,132
103.99,45.92,72
104.02,42.07,72
104.05,50.9,72
104.08,47.48,72
104.11,50.17,84
104.15,50.3,72
104.18,49.24,60
104.21,50.46,60
104.24,44.33,72
104.28,50.64,60
104.32,55.05,60
104.36,49.11,60
104.4,44.37,84
104.43,48.67,84
104.46,57.33,72
104.49,50.33,60
104.52,51.75,84
104.55,50.18,84
104.58,47.24,84
104.61,56.29,84
104.64,48.65,84
104.68,50.42,84
104.71,42.1,60
104.76,41.49,60
104.79,53.29,84
104.82,42.08,60
104.86,49.71,84
104.89,51.86,84
104.92,47.57,60
104.95,39.13,60
104.98,43.42,84
105.01,47.61,84
105.04,38.58,84
105.08,48.39,60
105.11,44.7,72
105.14,41.09,84
105.19,45.01,72
105.22,46.01,60
105.25,42.0,84
105.28,45.46,84
105.31,47.95,60
105.35,49.46,60
105.38,46.34,60
105.42,46.34,60
105.45,45.87,72
105.48,42.74,72
105.51,40.19,72
105.54,44.57,60
105.59,54.98,84
105.62,45.14,72
105.65,44.39,72
105.68,32.91,60
105.71,44.87,72
105.75,49.98,72
105.78,47.58,72
105.82,46.42,72
105.85,51.18,72
105.88,46.14,72
105.91,48.0,72
105.94,41.36,84
105.97,43.03,84
106.02,42.86,132
106.05,48.62,72
106.08,45.13,72
106.12,45.73,72
106.15,45.39,72
106.18,37.31,72
106.21,44.92,72
106.25,39.06,72
106.28,44.79,72
106.32,38.57,72
106.35,39.63,72
106.38,39.82,72
106.41,39.62,72
106.45,39.15,72
106.48,41.48,72
106.52,44.25,72
106.55,40.26,72
106.58,39.0,72
106.61,39.11,72
106.64,42.32,72
106.67,38.05,96
106.71,29.07,60
106.74,33.1,84
106.8,24.95,60
106.84,24.95,60
106.87,25.84,60
106.9,39.57,72
106.93,31.02,72
106.96,33.97,96
107.0,32.06,96
107.03,27.77,96
107.06,37.71,144
107.09,35.57,144
107.12,39.91,60
107.15,31.98,144
107.2,46.17,60
107.23,46.17,60
107.26,43.68,84
107.29,35.29,84
107.35,35.95,84
107.38,34.55,84
107.41,41.84,84
107.45,44.44,84
107.48,46.51,96
107.51,42.86,96
107.54,40.89,84
107.57,36.67,84
107.6,44.34,96
107.64,33.78,60
107.66,33.78,60
107.7,38.12,84
107.73,27.25,60
107.76,26.93,60
107.79,37.46,60
107.82,33.48,60
107.85,34.9,84
107.89,31.28,60
107.92,44.92,60
107.95,32.02,60
108.0,28.42,84
108.04,31.28,84
108.07,33.37,84
108.1,33.37,60
108.14,30.46,84
108.16,29.79,84
108.2,36.7,84
108.23,35.62,60
108.26,30.95,60
108.29,35.8,60
108.34,26.91,60
108.37,28.29,60
108.4,34.81,60
108.43,35.85,60
108.47,37.73,84
108.51,38.64,84
108.54,38.64,60
108.57,34.89,60
108.6,36.11,60
108.64,30.99,60
108.69,36.79,60
108.72,32.97,60
108.75,34.45,60
108.79,37.49,60
108.82,32.76,60
108.85,34.54,60
108.88,39.51,60
108.91,32.52,60
108.94,32.52,60
108.97,31.91,60
109.01,29.47,60
109.04,36.06,60
109.07,26.53,84
109.1,33.88,60
109.13,36.3,60
109.16,39.77,60
109.2,34.21,60
109.24,34.26,60
109.27,31.72,60
109.3,31.05,60
109.33,29.58,60
109.36,29.58,60
109.39,34.28,60
109.42,36.91,48
109.45,31.38,60
109.49,31.07,60
109.51,29.78,60
109.55,38.45,96
109.6,31.36,60
109.64,34.59,60
109.67,32.19,60
109.7,39.17,72
109.73,40.14,72
109.76,35.94,60
109.8,35.94,48
109.83,27.08,60
109.86,36.03,60
109.89,33.3,96
109.92,40.03,60
109.95,40.53,60
110.0,38.4,60
110.04,39.92,60
110.07,36.17,72
110.1,45.34,60
110.14,40.91,60
110.17,40.75,60
110.2,43.59,60
110.23,43.59,60
110.26,44.99,60
110.29,52.95,48
110.32,49.47,48
110.35,43.32,60
110.4,51.88,60
110.43,48.91,60
110.47,53.38,60
110.51,51.22,60
110.54,44.96,60
110.57,45.65,60
110.6,47.72,60
110.64,47.72,60
110.68,49.94,84
110.71,53.63,84
110.74,51.04,60
110.79,52.18,60
110.82,58.64,60
110.86,50.49,60
110.9,48.6,60
110.93,41.62,60
110.96,42.2,48
111.0,49.56,60
111.04,47.38,60
111.07,45.93,60
111.1,45.93,60
111.13,50.53,60
111.16,52.35,60
111.19,50.55,60
111.22,45.63,60
111.25,45.22,60
111.28,44.39,60
111.31,51.47,60
111.34,44.68,60
111.38,37.82,60
111.41,48.56,60
111.44,49.74,60
111.48,51.27,60
111.52,51.27,48
111.55,47.23,60
111.58,48.13,60
111.61,52.46,60
111.64,49.15,60
111.69,50.62,60
111.72,46.78,60
111.75,45.17,60
111.78,53.68,168
111.81,50.13,168
111.84,40.69,132
111.87,45.26,60
111.9,43.61,168
111.94,43.61,60
111.97,37.6,168
112.0,48.03,60
112.04,42.42,60
112.07,45.69,60
112.1,44.53,60
112.14,50.49,60
112.17,46.68,60
112.2,47.48,60
112.23,42.5,132
112.26,41.78,60
112.29,38.55,60
112.32,38.55,60
112.35,30.95,96
112.4,43.05,132
112.43,36.58,96
112.47,32.72,96
112.5,28.27,96
112.53,42.23,120
112.57,31.92,132
112.6,42.53,96
112.64,41.26,96
112.69,40.62,120
112.74,43.87,96
112.78,41.84,96
112.81,41.84,120
112.84,40.36,120
112.87,40.28,120
112.9,44.14,120
112.93,39.77,96
112.96,38.79,96
112.99,41.5,120
113.02,39.21,120
113.05,42.99,120
113.08,45.39,120
113.11,49.4,120
113.15,47.0,120
113.18,38.69,120
113.21,37.87,120
113.24,36.4,120
113.27,43.49,120
113.3,37.52,156
113.33,38.23,156
113.36,42.55,156
113.4,40.52,120
113.43,40.18,120
113.46,43.57,120
113.49,43.19,120
113.53,43.02,120
113.56,38.52,120
113.6,38.43,120
113.63,32.13,96
113.68,41.7,120
113.72,45.54,156
113.75,43.54,120
113.78,42.14,120
113.81,38.45,120
113.84,42.46,120
113.88,41.33,120
113.91,35.79,120
113.94,37.08,120
113.97,38.7,120
114.0,36.51,120
114.04,37.9,120
114.08,30.0,156
114.11,33.37,120
114.14,36.59,120
114.17,31.43,120
114.2,32.99,156
114.23,36.15,156
114.26,38.75,72
114.31,43.44,72
114.34,46.65,72
114.37,44.26,72
114.4,42.26,132
114.43,42.37,72
114.46,39.29,132
114.5,41.27,72
114.53,39.43,84
114.57,35.38,132
114.6,46.66,132
114.63,45.39,132
114.66,35.74,72
114.69,38.06,72
114.73,40.54,132
114.76,43.54,132
114.79,39.35,108
114.82,39.37,132
114.85,42.15,108
114.88,40.0,132
114.93,40.57,132
114.96,39.28,132
114.99,39.07,132
115.03,39.93,132
115.07,45.85,132
115.1,39.4,132
115.13,33.63,108
115.16,38.88,132
115.19,44.62,132
115.22,44.54,132
115.25,41.26,84
115.28,40.5,132
115.33,39.87,108
115.36,45.43,132
115.4,36.65,132
115.43,39.84,132
115.46,39.79,132
115.49,42.28,84
115.52,39.47,132
115.56,41.84,132
115.59,32.24,108
115.63,41.2,132
115.66,36.86,108
115.69,39.61,108
115.72,39.3,108
115.77,41.08,132
115.8,39.16,108
115.83,38.14,108
115.86,38.67,108
115.89,36.38,108
115.92,40.97,108
115.96,38.41,108
115.99,45.2,108
116.02,39.27,108
116.05,41.13,108
116.08,36.98,108
116.12,44.35,108
116.15,37.94,108
116.19,39.26,108
116.23,37.06,108
116.26,42.93,108
116.29,37.51,108
116.32,35.25,108
116.36,39.62,108
116.39,40.21,108
116.42,40.26,72
116.45,38.83,72
116.48,38.47,108
116.51,40.94,108
116.55,38.29,72
116.58,38.99,72
116.64,41.21,72
116.69,36.36,72
116.74,40.76,72
116.78,38.1,108
116.82,40.71,72
116.85,40.57,72
116.88,43.6,72
116.92,39.21,72
116.95,34.72,72
116.98,40.81,72
117.04,38.75,72
117.07,43.5,72
117.1,37.31,72
117.13,38.08,72
117.16,38.7,72
117.19,39.82,72
117.23,42.43,72
117.26,35.57,72
117.29,41.13,72
117.32,39.58,72
117.35,36.95,72
117.38,42.45,72
117.41,37.2,72
117.44,35.74,72
117.48,46.92,72
117.54,35.47,72
117.57,34.41,84
117.6,35.87,72
117.63,41.76,72
117.68,39.68,72
117.71,38.63,72
117.74,42.28,72
117.77,37.21,84
117.8,33.34,144
117.83,37.86,84
117.86,41.22,84
117.89,39.86,72
117.92,42.75,84
117.96,33.08,72
117.99,41.26,84
118.02,34.69,72
118.05,39.45,72
118.08,38.76,72
118.11,44.1,72
118.14,39.02,72
118.17,34.12,72
118.21,40.86,72
118.24,43.49,72
118.27,42.9,72
118.3,42.55,72
118.33,34.03,48
118.36,40.38,108
118.39,44.79,72
118.42,46.14,72
118.45,49.35,72
118.48,53.14,72
118.51,53.4,72
118.54,48.04,72
118.57,46.53,72
118.61,54.19,72
118.64,46.34,72
118.67,51.73,72
118.7,47.12,72
118.73,48.06,72
118.76,51.73,72
118.79,52.52,72
118.82,54.78,72
118.85,47.97,72
118.88,51.8,72
118.92,54.06,72
118.95,56.89,72
118.98,49.96,72
119.02,49.08,72
119.05,41.41,48
119.08,55.88,72
119.11,44.92,72
119.16,49.16,72
119.19,45.63,72
119.22,44.86,72
119.25,45.79,144
119.29,43.98,48
119.32,53.5,48
119.35,44.72,144
119.38,50.79,48
119.41,43.71,72
119.45,49.59,48
